HHID,HHID_old,resp_iid,spouse_iid,muslim,age_2018,sex,New_edu,wealth_total,CropFailRecent,RiverErodeRecent,KinDispRecent,BusLossRecent,NeighDispRecent,UnemployRecent,NatDisRecent,SmDebtRecent,LgDebtRecent,SickSelfRecent,SickFamRecent,netsize,mutual,mutual_prop,long,long_prop,local,local_prop,support_in,support_in_prop,support_out,support_out_prop,
HH001,HHQ001,IND0002,#N/A,1,65,0,0,652800,0,0,0,0,0,0,0,0,0,1,1,8,2,0.25,2,0.25,2,0.25,2,0.25,2,0.25,
HH002,HHQ002,IND0012,#N/A,1,64,0,0,215400,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,
HH003,HHQ003,IND0024,HUS039,1,54,0,5,353000,0,0,0,0,1,0,0,0,0,1,1,9,3,0.333333333,2,0.222222222,4,0.444444444,4,0.444444444,6,0.666666667,
HH004,HHQ004,IND0028,HUS178,0,31,0,9,149225,0,0,1,0,1,1,0,0,0,0,1,14,3,0.214285714,0,0,11,0.785714286,5,0.357142857,6,0.428571429,
HH005,HHQ005,IND0034,HUS237,0,53,0,1,319820,0,0,0,1,0,0,1,1,1,0,0,11,3,0.272727273,2,0.181818182,6,0.545454545,7,0.636363636,4,0.363636364,
HH006,HHQ006,IND0038,HUS351,1,53,0,1,231025,0,0,0,1,0,1,0,0,0,1,1,11,3,0.272727273,3,0.272727273,5,0.454545455,3,0.272727273,5,0.454545455,
HH007,HHQ007,IND0047,HUS197,1,46,0,4,96900,1,0,0,0,0,1,0,0,1,0,1,8,4,0.5,0,0,6,0.75,5,0.625,4,0.5,
HH008,HHQ008,IND0055,#N/A,0,60,0,4,173725,0,0,0,1,0,1,0,1,1,1,0,5,0,0,0,0,4,0.8,2,0.4,0,0,
HH009,HHQ009,IND0065,HUS326,1,55,0,2,559075,0,0,0,0,0,1,0,0,0,1,1,7,1,0.142857143,0,0,6,0.857142857,3,0.428571429,4,0.571428571,
HH010,HHQ010,IND0069,#N/A,1,62,0,0,160420,0,0,0,0,0,0,0,0,0,0,0,4,2,0.5,0,0,4,1,3,0.75,2,0.5,
HH011,HHQ011,IND0081,HUS298,1,62,0,5,298575,1,0,1,0,0,1,0,1,0,0,1,17,2,0.117647059,1,0.058823529,11,0.647058824,2,0.117647059,4,0.235294118,
