OID,IN_FID,HH_from,HH_from_inc,HH_from_wealth,NEAR_RANK,NEAR_FID,HH_to,HH_to_inc,HH_to_wealth,NEAR_DIST
1,1,HH001,30000,652800,1,419,HH419,26500,380740,1.507149551
2,1,HH001,30000,652800,2,48,HH048,16833.33333,238075,16.67397194
3,1,HH001,30000,652800,3,239,HH239,12500,102155,119.1398919
4,1,HH001,30000,652800,4,287,HH287,50125,499205,136.2635032
5,1,HH001,30000,652800,5,196,HH196,32500,416025,190.8395038
6,1,HH001,30000,652800,6,579,HH579,36000,250625,363.3364427
7,1,HH001,30000,652800,7,381,HH381,44500,192740,650.5911596
8,1,HH001,30000,652800,8,190,HH190,49000,249245,667.5298028
9,1,HH001,30000,652800,9,333,HH333,500,234625,703.8886473
10,1,HH001,30000,652800,10,323,HH323,40833.33333,135950,738.3252223
11,1,HH001,30000,652800,11,493,HH493,73333.33333,213625,797.8240499
12,1,HH001,30000,652800,12,606,HH606,22500,694425,826.600025
13,1,HH001,30000,652800,13,522,HH522,40083.33333,375415,834.2029779
14,1,HH001,30000,652800,14,130,HH130,38161.08333,281950,834.2064117
15,1,HH001,30000,652800,15,321,HH321,20000,260800,848.4310251
16,1,HH001,30000,652800,16,623,HH623,60000,589550,858.9740257
17,1,HH001,30000,652800,17,481,HH481,15000,150425,887.4546901
18,1,HH001,30000,652800,18,193,HH193,40000,192525,943.3003561
19,1,HH001,30000,652800,19,20,HH020,45000,319450,945.1686188
20,1,HH001,30000,652800,20,595,HH595,4250,75800,971.0815312
21,1,HH001,30000,652800,21,581,HH581,45800,164550,1029.129993
22,1,HH001,30000,652800,22,514,HH514,21166.66667,127975,1141.288919
23,1,HH001,30000,652800,23,326,HH326,90000,367915,1203.554694
24,1,HH001,30000,652800,24,246,HH246,9666.666667,58555,1261.279916
25,1,HH001,30000,652800,25,61,HH061,42100,189750,1270.468355
26,1,HH001,30000,652800,26,356,HH356,101000,244400,1340.749433
27,1,HH001,30000,652800,27,525,HH525,5000,72100,1356.802718
28,1,HH001,30000,652800,28,708,HH708,12000,211450,1498.151005
29,1,HH001,30000,652800,29,408,HH408,60000,385350,1564.592072
30,1,HH001,30000,652800,30,414,HH414,52000,235350,1630.799463
31,1,HH001,30000,652800,31,229,HH229,211666.6667,414225,1662.557547
32,1,HH001,30000,652800,32,674,HH674,14000,182700,1681.805186
33,1,HH001,30000,652800,33,587,HH587,110000,272350,1681.872977
34,1,HH001,30000,652800,34,453,HH453,117000,373600,1708.039595
35,1,HH001,30000,652800,35,518,HH518,17000,220240,1762.430639
36,1,HH001,30000,652800,36,389,HH389,80083.33333,223150,1768.401829
37,1,HH001,30000,652800,37,571,HH571,40166.66667,410185,1957.960475
38,1,HH001,30000,652800,38,705,HH705,93666.66667,298525,2017.263701
39,1,HH001,30000,652800,39,168,HH168,60300,160337,2067.637828
40,1,HH001,30000,652800,40,173,HH173,100000,402850,2108.17509
41,2,HH002,2000,215400,1,649,HH649,12000,222655,313.0348621
42,2,HH002,2000,215400,2,219,HH219,9000,90230,346.5745833
43,2,HH002,2000,215400,3,281,HH281,15000,194375,614.5528137
44,2,HH002,2000,215400,4,672,HH672,4750,88570,724.2969251
45,2,HH002,2000,215400,5,250,HH250,2133.333333,230675,725.7315512
46,2,HH002,2000,215400,6,406,HH406,15000,244000,910.5904336
47,2,HH002,2000,215400,7,279,HH279,70000,161575,915.7849687
48,2,HH002,2000,215400,8,685,HH685,51000,288210,1108.940023
49,2,HH002,2000,215400,9,138,HH138,47666.66667,278065,1140.024252
50,2,HH002,2000,215400,10,132,HH132,20083.33333,152875,1141.726259
51,2,HH002,2000,215400,11,141,HH141,2083.333333,135114,1153.335486
52,2,HH002,2000,215400,12,251,HH251,62020.83333,407780,1206.357106
53,2,HH002,2000,215400,13,442,HH442,950,90025,1227.848428
54,2,HH002,2000,215400,14,506,HH506,0,185650,1233.905786
55,2,HH002,2000,215400,15,651,HH651,35166.66667,113470,1281.548145
56,2,HH002,2000,215400,16,663,HH663,27600,143740,1288.786009
57,2,HH002,2000,215400,17,565,HH565,20266.66667,203725,1320.196153
58,2,HH002,2000,215400,18,538,HH538,12000,309645,1416.594184
59,2,HH002,2000,215400,19,604,HH604,17000,161900,1493.666613
60,2,HH002,2000,215400,20,371,HH371,112500,516895,1632.855621
61,2,HH002,2000,215400,21,524,HH524,7450,313425,1652.529007
62,2,HH002,2000,215400,22,736,HH736,60000,246825,1671.587872
63,2,HH002,2000,215400,23,499,HH499,10183.33333,108762,1770.182529
64,2,HH002,2000,215400,24,374,HH374,12000,183425,1776.153688
65,2,HH002,2000,215400,25,657,HH657,5000,309975,1800.407523
66,2,HH002,2000,215400,26,738,HH738,6000,177750,1812.959589
67,2,HH002,2000,215400,27,428,HH428,32100,239840,1822.492116
68,2,HH002,2000,215400,28,495,HH495,2083.333333,117220,1849.664338
69,2,HH002,2000,215400,29,468,HH468,52083.33333,388250,1880.158949
70,2,HH002,2000,215400,30,433,HH433,32000,265275,1888.956922
71,2,HH002,2000,215400,31,162,HH162,36666.66667,204700,1908.75472
72,2,HH002,2000,215400,32,86,HH086,121666.6667,575725,1923.526644
73,2,HH002,2000,215400,33,646,HH646,9083.333333,257805,1946.225411
74,2,HH002,2000,215400,34,166,HH166,1083.333333,179220,1954.613803
75,2,HH002,2000,215400,35,163,HH163,5000,83032,1959.004382
76,2,HH002,2000,215400,36,470,HH470,10500,123775,1972.812784
77,2,HH002,2000,215400,37,584,HH584,12300,238650,1982.602705
78,2,HH002,2000,215400,38,731,HH731,0,111125,2017.555468
79,2,HH002,2000,215400,39,676,HH676,70000,169050,2027.172746
80,2,HH002,2000,215400,40,504,HH504,9000,542420,2033.811222
81,3,HH003,65500,353000,1,119,HH119,12500,141200,82.09738652
82,3,HH003,65500,353000,2,445,HH445,25000,480415,86.26495356
83,3,HH003,65500,353000,3,578,HH578,15000,145280,152.7178025
84,3,HH003,65500,353000,4,136,HH136,12000,63990,163.8971249
85,3,HH003,65500,353000,5,689,HH689,15833.33333,86750,216.3962382
86,3,HH003,65500,353000,6,693,HH693,41666.66667,329255,285.5012417
87,3,HH003,65500,353000,7,335,HH335,9516.666667,144850,403.8875494
88,3,HH003,65500,353000,8,678,HH678,8000,364550,446.6990818
89,3,HH003,65500,353000,9,244,HH244,8000,115345,513.0843617
90,3,HH003,65500,353000,10,582,HH582,10000,144345,611.3082446
91,3,HH003,65500,353000,11,532,HH532,10000,83860,624.107219
92,3,HH003,65500,353000,12,163,HH163,5000,83032,635.1509573
93,3,HH003,65500,353000,13,646,HH646,9083.333333,257805,731.4405819
